sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010223,20103631,SMP NEGERI 223,20103631,true,true,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010224,20101527,SMP NEGERI 224,20101527,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,25,0
22010225,20101526,SMP NEGERI 225,20101526,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010226,20102518,SMP NEGERI 226,20102518,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,51,0
22010227,20102517,SMP NEGERI 227,20102517,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010228,20100238,SMP NEGERI 228,20100238,true,false,20102,201,Kota Jakarta Pusat,DKI Jakarta,Umum,true,51,0
22010229,20109212,SMP NEGERI 229,20109212,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010230,20103630,SMP NEGERI 230,20103630,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,63,0
22010231,20100773,SMP NEGERI 231,20100773,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,64,0
22010232,20103629,SMP NEGERI 232,20103629,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010233,20103628,SMP NEGERI 233,20103628,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010234,20103627,SMP NEGERI 234,20103627,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010235,20102516,SMP NEGERI 235,20102516,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,38,0
22010236,20103626,SMP NEGERI 236,20103626,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010237,20103625,SMP NEGERI 237,20103625,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010238,20102515,SMP NEGERI 238,20102515,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,37,0
22010239,20102514,SMP NEGERI 239,20102514,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,58,0
22010240,20102497,SMP NEGERI 240,20102497,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010241,20102496,SMP NEGERI 242,20102496,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010242,20103623,SMP NEGERI 243,20103623,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
22010243,20100759,SMP NEGERI 244,20100759,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010244,20102479,SMP NEGERI 245,20102479,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,32,0
22010245,20103603,SMP NEGERI 246,20103603,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,25,0
